Frame,Point,x,y
4.0,58.0,687.031,484.725
4.0,59.0,685.986,487.601
4.0,60.0,683.894,490.477
4.0,61.0,646.776,456.894
4.0,62.0,653.108,465.759
4.0,63.0,654.122,477.41
4.0,64.0,653.108,487.542
4.0,65.0,648.296,493.367
4.0,66.0,646.523,479.943
4.0,67.0,641.204,488.048
4.0,68.0,640.444,493.367
4.0,69.0,639.178,496.66
4.0,70.0,641.457,477.157
4.0,71.0,637.405,485.515
4.0,72.0,636.898,491.088
4.0,73.0,638.164,495.14
4.0,74.0,637.911,474.117
4.0,75.0,634.872,481.463
4.0,76.0,635.125,487.035
4.0,77.0,636.138,490.581
4.0,78.0,635.378,471.584
4.0,79.0,633.605,478.676
4.0,80.0,634.112,481.463
4.0,81.0,634.618,484.249
5.0,0.0,654.341,292.982
5.0,1.0,670.88,330.889
5.0,2.0,635.135,316.707
5.0,3.0,642.337,387.897
5.0,4.0,656.669,447.404
5.0,5.0,704.23,335.745
5.0,6.0,708.988,407.011
5.0,7.0,682.752,452.202
5.0,8.0,656.632,456.971
5.0,9.0,635.128,452.237
5.0,10.0,618.726,549.701
5.0,11.0,647.123,635.248
5.0,12.0,680.464,461.693
5.0,13.0,678.126,551.997
5.0,14.0,668.473,637.722
5.0,15.0,647.139,290.522
5.0,16.0,659.018,283.401
5.0,17.0,637.7,295.231
5.0,18.0,675.692,283.365
5.0,19.0,651.891,654.276
5.0,20.0,668.52,656.608
5.0,21.0,670.849,651.798
5.0,22.0,616.245,656.696
5.0,23.0,616.153,654.169
5.0,24.0,654.327,642.36
5.0,25.0,641.11,302.011
5.0,26.0,664.045,311.992
5.0,27.0,675.088,289.907
5.0,28.0,639.198,287.146
5.0,29.0,642.596,285.022
5.0,30.0,647.268,284.81
5.0,31.0,652.152,283.111
5.0,32.0,657.462,279.713
5.0,33.0,663.408,279.288
5.0,34.0,651.94,304.347
5.0,35.0,658.099,302.011
5.0,36.0,664.894,300.1
5.0,37.0,660.01,305.409
5.0,38.0,644.507,289.907
5.0,39.0,658.523,285.447
5.0,40.0,676.452,474.189
5.0,41.0,673.046,466.067
5.0,42.0,666.233,461.875
5.0,43.0,642.914,468.163
5.0,44.0,643.176,477.596
5.0,45.0,643.962,465.543
5.0,46.0,640.293,468.163
5.0,47.0,642.128,476.286
5.0,48.0,647.63,476.548
5.0,49.0,647.368,465.281
5.0,50.0,640.818,477.858
5.0,51.0,645.272,480.74
5.0,52.0,648.94,476.286
5.0,53.0,650.25,469.997
5.0,54.0,641.604,481.002
5.0,55.0,644.486,482.574
5.0,56.0,650.512,480.216
5.0,57.0,652.87,473.665
5.0,58.0,646.582,484.67
5.0,59.0,648.416,485.456
5.0,60.0,652.346,482.836
5.0,61.0,646.174,471.766
5.0,62.0,660.611,462.054
5.0,63.0,678.198,465.991
5.0,64.0,673.211,480.166
5.0,65.0,654.312,473.866
5.0,66.0,675.049,480.166
5.0,67.0,672.949,480.166
5.0,68.0,664.286,477.803
5.0,69.0,658.512,479.903
5.0,70.0,671.374,480.428
5.0,71.0,669.011,483.578
5.0,72.0,662.449,482.528
5.0,73.0,658.249,481.478
5.0,74.0,672.686,486.728
5.0,75.0,668.749,489.615
5.0,76.0,662.186,487.778
5.0,77.0,656.412,483.053
5.0,78.0,672.424,492.765
5.0,79.0,667.174,493.29
5.0,80.0,662.449,493.028
5.0,81.0,658.249,492.765
6.0,0.0,649.474,295.275
6.0,1.0,668.46,328.61
6.0,2.0,635.242,316.661
6.0,3.0,637.717,387.885
6.0,4.0,654.302,447.493
6.0,5.0,694.755,333.371
6.0,6.0,697.11,406.945
6.0,7.0,670.946,452.241
6.0,8.0,658.98,459.278
6.0,9.0,635.291,454.595
6.0,10.0,620.995,549.686
6.0,11.0,644.793,635.292
6.0,12.0,687.529,461.679
6.0,13.0,678.09,554.435
6.0,14.0,670.832,639.991
6.0,15.0,637.661,292.881
6.0,16.0,654.261,288.13
6.0,17.0,635.162,295.27
6.0,18.0,673.182,288.148
6.0,19.0,656.613,656.572
6.0,20.0,673.256,656.662
6.0,21.0,670.903,651.854
6.0,22.0,616.216,656.751
6.0,23.0,616.132,654.22
6.0,24.0,654.277,644.722
6.0,25.0,633.989,304.839
6.0,26.0,657.083,316.085
6.0,27.0,667.726,292.187
6.0,28.0,632.181,290.782
6.0,29.0,635.595,287.769
6.0,30.0,640.415,287.568
6.0,31.0,645.034,285.56
6.0,32.0,650.456,281.544
6.0,33.0,656.681,281.142
6.0,34.0,645.034,306.847
6.0,35.0,651.661,305.04
6.0,36.0,658.087,302.228
6.0,37.0,653.066,308.253
6.0,38.0,638.808,292.388
6.0,39.0,652.866,287.368
6.0,40.0,635.038,455.848
6.0,41.0,640.979,467.189
6.0,42.0,643.409,470.43
6.0,43.0,643.949,479.881
6.0,44.0,648.81,477.721
6.0,45.0,653.941,475.831
6.0,46.0,653.131,480.962
6.0,47.0,657.181,480.421
