Frame,plane_x,plane_y
276,-159.5564802871176,-3424.3531639088237
277,-170.42407587990033,-3449.7602265310716
278,-180.29436205285876,-3475.352684885002
279,-189.2900704150831,-3501.089434991648
280,-197.55766175257108,-3526.917407926139
281,-205.26098077752303,-3552.7736491910723
282,-212.58019996099935,-3578.5857796875043
283,-219.68281653644337,-3604.2846542582656
284,-226.69176235439272,-3629.8182803458476
285,-233.68327124707997,-3655.152531697999
286,-240.6840251472812,-3680.271148367725
287,-247.67013814060232,-3705.1757367132886
288,-254.57275081715414,-3729.881332712239
289,-261.303686831793,-3754.396059126259
290,-267.76281724270865,-3778.715609981848
291,-273.83845152720716,-3802.825044928859
292,-279.42038673528475,-3826.6975853891995
293,-284.4176458365373,-3850.2920592029877
294,-288.7598957705444,-3873.552750901175
295,-292.3988678499656,-3896.409731316815
296,-295.3091611066309,-3918.7790440053345
297,-297.48637046321926,-3940.5681317709864
298,-298.93602544331725,-3961.7077360292333
299,-299.66956002957676,-3982.1632094459487
300,-299.70428268907835,-4001.9313842591937
301,-299.0615085830629,-4021.037114888932
302,-297.76339353277586,-4039.530468664314
303,-295.83262734064476,-4057.486455856425
304,-293.29243379027895,-4075.0050296782892
305,-290.1665706464694,-4092.211086284869
306,-286.4792325682665,-4109.250070831495
307,-282.2543122549235,-4126.2545385564845
308,-277.51499717109164,-4143.328808320935
309,-272.2825541234165,-4160.549403183788
310,-266.57525233507033,-4177.966428387759
311,-260.408351889905,-4195.605526869541
312,-253.7940885031183,-4213.46812941174
313,-246.74087962178442,-4231.531571736973
314,-239.2522524548543,-4249.749252615243
315,-231.32681362366534,-4268.052838018734
316,-222.95870459465647,-4286.374195109463
317,-214.137919638496,-4304.658008340763
318,-204.8528182577548,-4322.8614921289145
319,-195.09366407326615,-4340.954926341424
320,-184.85306059141584,-4358.924673306534
321,-174.12598387650084,-4376.773686365652
322,-162.9102332638572,-4394.521898172972
323,-151.20738187300697,-4412.207039584203
324,-139.0236540429566,-4429.8833363908025
325,-126.38011290217021,-4447.60257204563
326,-113.31995043590106,-4465.400526054871
327,-99.90717480063498,-4483.297491395666
328,-86.22246165324042,-4501.297500950556
329,-72.35945805614901,-4519.37995221951
330,-58.42408636810818,-4537.497781374825
331,-44.53454424418153,-4555.577856361203
332,-30.821304635748504,-4573.52231063847
333,-17.425641154708988,-4591.209937770299
334,-4.471985479350199,-4608.5170361144765
335,7.956622623717827,-4625.335921431886
336,19.81965985587558,-4641.575709750417
337,31.12045608708604,-4657.165238327096
338,41.90809835869439,-4672.063742588337
339,52.27789155450903,-4686.263724025051
340,62.37093523605704,-4699.789221793654
341,72.37176307304267,-4712.686170964007
342,82.50646847227095,-4725.018599593252
343,93.01370077995789,-4736.855966909946
344,104.11277513644286,-4748.259244656186
345,116.00153984078932,-4759.280203382002
346,128.85001492275057,-4769.95895228684
347,142.77987007360147,-4780.31025781985
348,157.8576820363791,-4790.3188153467545
349,174.09548927562486,-4799.940876671451
